case_id,client_name,client_segment,strategic_client,fund_type,domicile,num_sub_funds,num_share_classes,num_jurisdictions,num_delegates,missing_documents,aml_status,kyc_status,risk_rating,client_priority,sla_days,regulatory_review_required,blocker_count,latest_blocker_type,complexity_score,complexity_label,actual_effort_hours,actual_completion_days,operational_pressure_score,pressure_band,sla_breached
C00749,RiverRock,High Profile,True,UCITS,UK,24,32,3,5,20,Completed,In Progress,High,High,20,0,2,AML Delay,226.4,High,229.1,33.5,75.0,High,0
C00750,BNY,Institutional,False,AIF,Malta,7,14,1,6,7,Completed,Completed,Low,Normal,30,0,1,AML Delay,76.2,Medium,80.2,15.4,42.3,Medium,0
C00751,Schroders,Institutional,False,Real Estate,UK,3,27,3,4,1,Completed,Completed,Medium,High,20,0,3,Missing Documents,112.0,Medium,116.2,17.2,66.0,High,0
C00752,Harbour Capital,Small / Emerging,False,AIF,Malta,1,16,3,1,15,Completed,In Progress,Medium,Normal,30,0,3,KYC Issue,107.5,Medium,86.2,13.7,59.0,Medium,0
C00753,RiverRock,High Profile,True,AIF,Luxembourg,18,26,3,8,5,Pending,In Progress,High,Critical,20,1,1,None,211.4,High,227.0,34.4,82.0,High,1
C00754,Blue Horizon,Small / Emerging,False,Hedge Fund,UK,1,5,5,1,14,Completed,Completed,Medium,Normal,20,0,2,None,102.4,Medium,100.2,17.6,63.0,Medium,0
C00755,Varagon Generation,High Profile,True,AIF,Luxembourg,14,40,5,9,13,Pending,Failed,Medium,Low,10,0,1,Missing Documents,219.7,High,214.8,30.1,100.0,Critical,0
C00756,State Street,Institutional,False,UCITS,Luxembourg,11,25,3,3,1,In Progress,Completed,High,Low,30,0,1,None,111.5,Medium,98.8,17.0,53.0,Medium,0
C00757,Apollo,High Profile,True,UCITS,Cayman Islands,15,29,4,8,6,Pending,Completed,High,Low,15,0,3,None,195.0,High,238.4,34.8,88.0,Critical,1
C00758,RiverRock,High Profile,True,AIF,Ireland,19,24,5,7,8,Completed,Pending,High,Critical,20,0,5,None,236.4,High,237.4,33.0,94.0,Critical,1
C00759,Aon,High Profile,True,UCITS,Ireland,22,13,4,8,14,In Progress,Completed,Medium,Critical,10,0,4,Client Dependency,218.0,High,197.0,29.3,89.0,Critical,0
C00760,Goldman Sachs,Institutional,False,Money Market,Luxembourg,3,9,3,2,14,In Progress,Completed,High,High,30,0,3,None,131.5,High,135.3,19.2,59.0,Medium,1
C00761,AllianzGI,Institutional,False,Hedge Fund,Cayman Islands,12,11,1,4,9,Completed,In Progress,Medium,High,20,0,2,None,127.4,High,155.7,25.5,63.0,Medium,1
C00762,J.P. Morgan,Institutional,False,UCITS,UK,7,13,5,3,11,Completed,Completed,Medium,Normal,10,0,1,None,102.1,Medium,109.0,16.4,68.0,High,0
C00763,RiverRock,High Profile,True,AIF,Malta,25,42,5,3,20,Pending,In Progress,High,Critical,20,0,3,Client Dependency,269.6,High,220.6,31.7,88.0,Critical,0
C00764,Legal & General,Institutional,False,Money Market,UK,13,17,4,5,11,Completed,Pending,Medium,Low,15,1,1,KYC Issue,147.0,High,170.1,26.8,70.0,High,0
C00765,Aon,High Profile,True,Private Equity,Ireland,13,36,4,7,9,In Progress,In Progress,High,High,15,0,2,KYC Issue,211.6,High,255.9,36.2,75.0,High,0
C00766,Nova Asset Management,Small / Emerging,False,AIF,UK,10,28,3,1,13,In Progress,Pending,Medium,Low,20,0,1,None,131.3,High,152.1,24.0,70.0,High,0
C00767,Goldman Sachs,Institutional,False,Money Market,Ireland,5,8,4,2,3,In Progress,Failed,Medium,Normal,20,0,0,Client Dependency,92.3,Medium,77.5,13.6,63.5,Medium,1
C00768,BNY,Institutional,False,UCITS,Luxembourg,5,2,4,6,13,Completed,In Progress,Low,Normal,10,1,2,KYC Issue,116.5,Medium,88.6,15.3,71.0,High,1
C00769,AllianzGI,Institutional,False,Private Equity,Luxembourg,4,10,2,3,15,In Progress,Completed,Medium,Low,20,0,0,Client Dependency,100.8,Medium,105.9,15.8,57.0,Medium,0
C00770,OakBridge,Small / Emerging,False,UCITS,Cayman Islands,4,19,4,2,7,Completed,In Progress,Medium,Normal,20,0,2,None,98.1,Medium,97.7,16.7,62.1,Medium,0
C00771,SilverStone,Small / Emerging,False,Private Equity,UK,2,10,3,1,8,Completed,Completed,Low,Normal,30,1,3,AML Delay,95.8,Medium,91.6,13.3,57.1,Medium,1
C00772,Celtic Investments,Small / Emerging,False,Private Equity,Luxembourg,9,19,3,1,14,Completed,In Progress,Medium,Normal,20,1,3,Missing Documents,149.2,High,149.4,23.4,66.0,High,0
C00773,Varagon Generation,High Profile,True,AIF,Luxembourg,22,23,3,4,6,Completed,Failed,Medium,High,15,0,5,AML Delay,206.1,High,246.8,37.8,94.0,Critical,1
C00774,PIMCO,Institutional,False,Real Estate,Luxembourg,8,12,5,2,13,In Progress,Completed,Low,Normal,15,0,1,Regulatory Review,114.6,Medium,142.4,20.2,60.0,Medium,0
C00775,Celtic Investments,Small / Emerging,False,Private Equity,UK,2,12,5,5,11,Completed,Completed,Medium,High,20,0,0,AML Delay,109.3,Medium,129.1,20.5,57.0,Medium,0
C00776,BlackRock,Institutional,False,UCITS,UK,11,20,1,5,7,Completed,In Progress,Low,Normal,15,0,3,AML Delay,109.3,Medium,126.5,19.6,66.0,High,0
C00777,Invesco,Institutional,False,UCITS,UK,2,9,3,1,6,In Progress,Pending,Medium,Normal,10,0,2,KYC Issue,90.4,Medium,81.8,14.8,76.7,High,0
C00778,Legal & General,Institutional,False,AIF,Luxembourg,11,16,3,2,0,Completed,In Progress,Medium,Normal,30,0,1,Missing Documents,82.5,Medium,79.0,13.3,45.1,Medium,0
C00779,DWS,Institutional,False,Private Equity,Cayman Islands,8,2,4,6,0,Completed,In Progress,High,Normal,15,0,0,None,102.2,Medium,99.4,15.4,57.0,Medium,0
C00780,Fidelity,Institutional,False,Real Estate,Ireland,13,13,5,1,4,In Progress,Completed,Low,Normal,45,0,0,AML Delay,94.2,Medium,78.6,14.0,47.4,Medium,0
C00781,OakBridge,Small / Emerging,False,Hedge Fund,Cayman Islands,1,20,1,6,13,In Progress,Failed,Medium,Normal,45,0,3,None,152.6,High,129.0,20.1,69.0,High,1
C00782,Fidelity,Institutional,False,Private Equity,Luxembourg,1,25,3,5,5,In Progress,In Progress,Low,Normal,30,0,3,AML Delay,115.7,Medium,118.6,17.8,59.0,Medium,0
C00783,RiverRock,High Profile,True,UCITS,Cayman Islands,15,10,6,7,15,Completed,Completed,High,High,30,0,3,Analyst Unavailable,199.0,High,212.5,31.0,71.0,High,1
C00784,RiverRock,High Profile,True,UCITS,Cayman Islands,18,42,4,7,10,Completed,Completed,Low,Normal,10,1,4,None,197.7,High,151.2,21.8,89.0,Critical,0
C00785,Aon,High Profile,True,Private Equity,Malta,23,35,3,3,5,Pending,Completed,Medium,Critical,15,1,5,Missing Documents,234.1,High,210.0,32.6,94.0,Critical,0
C00786,GreenRock,Small / Emerging,False,Hedge Fund,Luxembourg,15,29,2,3,11,In Progress,Completed,Medium,Normal,20,1,2,KYC Issue,159.0,High,165.1,25.0,63.0,Medium,1
C00787,BlackRock,Institutional,False,Hedge Fund,Luxembourg,10,12,5,0,6,Pending,Pending,Low,High,20,0,3,None,140.9,High,147.9,23.6,86.0,Critical,0
C00788,Invesco,Institutional,False,AIF,Luxembourg,5,16,2,2,5,Completed,In Progress,Medium,Normal,20,0,0,KYC Issue,68.3,Low,68.6,12.9,42.7,Medium,0
C00789,Celtic Investments,Small / Emerging,False,UCITS,Luxembourg,15,7,3,5,12,In Progress,Pending,High,High,30,0,2,None,168.2,High,145.4,22.0,66.0,High,0
C00790,State Street,Institutional,False,Hedge Fund,Ireland,14,17,2,3,15,Completed,Failed,High,Critical,45,0,1,None,184.4,High,181.6,26.5,63.0,Medium,0
C00791,J.P. Morgan,Institutional,False,Real Estate,Ireland,10,29,1,2,13,Pending,Pending,Medium,Low,20,0,0,KYC Issue,137.6,High,142.4,22.1,77.0,High,1
C00792,AllianzGI,Institutional,False,Private Equity,Luxembourg,6,21,5,0,3,Completed,Completed,Low,Normal,15,0,1,Analyst Unavailable,79.4,Medium,72.0,11.4,50.7,Medium,0
C00793,State Street,Institutional,False,Private Equity,UK,15,9,2,3,15,Blocked,Completed,High,Normal,20,0,0,None,159.2,High,171.9,27.5,67.0,High,1
C00794,DWS,Institutional,False,Money Market,UK,2,6,1,5,4,Completed,Completed,Medium,High,15,1,1,Analyst Unavailable,78.4,Medium,79.8,14.8,50.3,Medium,0
C00795,NorthPeak,Small / Emerging,False,UCITS,Malta,4,22,3,1,7,In Progress,Completed,Medium,High,20,1,0,None,97.5,Medium,100.6,16.6,55.9,Medium,1
C00796,BNY,Institutional,False,UCITS,Ireland,11,29,3,3,2,Completed,Completed,Low,Normal,15,0,1,None,84.0,Medium,95.4,15.9,52.8,Medium,0
C00797,PIMCO,Institutional,False,Real Estate,Cayman Islands,8,1,3,5,11,In Progress,Completed,Medium,Normal,20,0,1,None,112.7,Medium,99.8,14.6,60.0,Medium,0
C00798,Abrdn,Institutional,False,AIF,Cayman Islands,11,6,4,1,0,In Progress,In Progress,Low,Normal,20,0,3,Missing Documents,89.5,Medium,98.8,17.7,61.3,Medium,0
C00799,Goldman Sachs,Institutional,False,Private Equity,Ireland,3,20,2,4,11,In Progress,Completed,Low,High,45,0,2,None,114.9,Medium,96.6,16.5,56.0,Medium,0
C00800,Blue Horizon,Small / Emerging,False,Hedge Fund,Cayman Islands,14,15,2,3,4,Blocked,In Progress,Medium,High,20,0,0,Missing Documents,136.5,High,113.6,18.3,67.0,High,1
C00801,RiverRock,High Profile,True,Real Estate,Cayman Islands,10,27,7,5,18,Blocked,Completed,High,Critical,20,1,2,None,258.0,High,248.9,35.3,85.0,Critical,1
C00802,OakBridge,Small / Emerging,False,UCITS,Cayman Islands,7,14,1,0,3,In Progress,Completed,Medium,Critical,30,0,0,Missing Documents,72.0,Low,63.4,10.9,37.4,Low,1
C00803,DWS,Institutional,False,AIF,Ireland,15,10,1,4,13,In Progress,In Progress,Low,Normal,30,1,2,KYC Issue,132.4,High,105.1,15.4,56.0,Medium,0
C00804,J.P. Morgan,Institutional,False,Real Estate,Luxembourg,4,28,1,4,6,Completed,In Progress,Low,Low,15,0,2,None,98.5,Medium,107.8,15.6,62.3,Medium,0
C00805,NorthPeak,Small / Emerging,False,UCITS,Luxembourg,12,2,3,6,12,In Progress,Failed,Low,Critical,20,1,3,None,175.1,High,179.7,27.1,76.0,High,0
C00806,OakBridge,Small / Emerging,False,UCITS,Cayman Islands,4,11,5,1,12,Completed,In Progress,Low,Normal,15,0,3,None,102.2,Medium,114.1,19.8,66.0,High,0
C00807,BNY,Institutional,False,Money Market,Ireland,12,19,5,4,1,In Progress,Completed,Medium,High,45,1,0,Regulatory Review,118.4,Medium,139.9,22.3,50.0,Medium,0
C00808,BNY,Institutional,False,Money Market,Malta,7,2,3,3,9,In Progress,Completed,Low,Low,20,0,1,AML Delay,77.7,Medium,89.9,16.9,50.0,Medium,0
C00809,GreenRock,Small / Emerging,False,Hedge Fund,Cayman Islands,7,9,1,0,14,In Progress,Completed,Medium,Normal,45,0,0,None,89.3,Medium,90.2,14.4,45.2,Medium,0
C00810,Invesco,Institutional,False,Real Estate,Malta,4,1,4,2,1,Completed,Pending,Low,Normal,20,0,0,AML Delay,62.9,Low,67.4,11.5,50.3,Medium,0
C00811,Invesco,Institutional,False,Money Market,Malta,13,4,5,1,4,Completed,Pending,High,High,15,0,0,None,114.0,Medium,106.3,15.8,67.0,High,0
C00812,Northern Trust,Institutional,False,UCITS,Ireland,4,21,5,5,4,Completed,In Progress,Medium,Low,15,0,2,None,107.8,Medium,99.4,16.5,63.0,Medium,1
C00813,Fidelity,Institutional,False,AIF,Malta,14,24,4,0,4,Completed,Failed,Low,Normal,45,1,1,None,122.2,Medium,132.9,20.2,63.0,Medium,0
C00814,J.P. Morgan,Institutional,False,Real Estate,Malta,9,19,1,1,14,In Progress,Completed,High,Critical,30,0,1,None,144.2,High,117.0,19.3,53.0,Medium,0
C00815,SilverStone,Small / Emerging,False,UCITS,Luxembourg,11,13,1,4,9,Completed,Completed,High,Critical,30,0,0,None,114.8,Medium,123.0,18.9,50.0,Medium,0
C00816,Harbour Capital,Small / Emerging,False,UCITS,UK,14,3,4,3,11,In Progress,Completed,Medium,Normal,20,0,0,Analyst Unavailable,105.0,Medium,123.4,19.2,57.0,Medium,0
C00817,RiverRock,High Profile,True,UCITS,Malta,18,43,4,4,14,Pending,Failed,High,High,15,0,4,None,258.2,High,255.0,38.5,100.0,Critical,0
C00818,Varagon Generation,High Profile,True,AIF,Cayman Islands,20,15,3,8,21,Blocked,Completed,Medium,High,20,0,1,KYC Issue,214.8,High,182.0,26.8,82.0,High,0
C00819,Northern Trust,Institutional,False,Hedge Fund,Luxembourg,3,24,5,5,5,Completed,Pending,Low,Low,45,0,2,None,119.3,Medium,119.9,20.2,66.0,High,0
C00820,OakBridge,Small / Emerging,False,Real Estate,Malta,10,18,3,3,3,In Progress,Completed,High,Normal,20,1,2,AML Delay,140.3,High,151.6,23.3,63.0,Medium,0
C00821,DWS,Institutional,False,UCITS,Malta,8,9,5,0,9,Completed,Failed,Medium,Normal,30,0,3,Regulatory Review,127.0,High,139.1,22.3,69.0,High,1
C00822,M&G,Institutional,False,AIF,Malta,11,15,5,3,11,Completed,In Progress,Medium,Normal,15,0,1,None,119.5,Medium,97.0,17.5,60.0,Medium,0
C00823,Celtic Investments,Small / Emerging,False,Money Market,UK,15,18,2,3,8,Pending,In Progress,Medium,Normal,20,1,3,AML Delay,153.3,High,149.2,21.5,76.0,High,1
C00824,PIMCO,Institutional,False,Real Estate,UK,5,11,1,1,7,Blocked,Pending,High,Normal,45,0,0,None,122.9,Medium,150.4,22.6,70.0,High,0
C00825,Aon,High Profile,True,UCITS,Cayman Islands,11,21,6,4,4,Completed,Completed,High,Normal,15,1,1,None,151.2,High,160.9,24.9,72.0,High,0
C00826,Liffey Investments,Small / Emerging,False,Real Estate,Malta,6,26,2,5,13,Blocked,Completed,Medium,Normal,30,0,0,None,140.4,High,127.0,21.4,60.0,Medium,0
C00827,DWS,Institutional,False,Money Market,Malta,5,17,2,5,6,Completed,Completed,Medium,Normal,45,0,1,None,82.9,Medium,76.0,14.3,45.3,Medium,0
C00828,J.P. Morgan,Institutional,False,Money Market,Luxembourg,15,10,2,1,2,Blocked,Pending,High,Normal,20,0,0,Client Dependency,125.1,High,116.8,19.8,77.0,High,0
C00829,PIMCO,Institutional,False,AIF,Ireland,14,24,4,2,8,Completed,Completed,High,Normal,20,0,1,AML Delay,126.4,High,131.8,22.2,60.0,Medium,1
C00830,BlackRock,Institutional,False,Money Market,Malta,9,22,2,3,9,In Progress,Completed,High,High,45,1,2,None,146.6,High,114.6,16.9,56.0,Medium,0
C00831,M&G,Institutional,False,Private Equity,UK,15,7,5,0,2,Completed,Completed,Medium,Normal,15,1,0,None,99.7,Medium,124.1,17.6,56.9,Medium,0
C00832,State Street,Institutional,False,Private Equity,Cayman Islands,2,15,4,3,1,In Progress,Completed,Medium,Normal,15,0,2,Missing Documents,93.2,Medium,114.6,17.7,59.9,Medium,0
C00833,Schroders,Institutional,False,Private Equity,Cayman Islands,4,13,1,4,1,Completed,Completed,High,Normal,20,0,0,None,77.0,Medium,70.6,13.9,46.6,Medium,0
C00834,Varagon Generation,High Profile,True,UCITS,Cayman Islands,8,30,3,6,18,Blocked,Pending,Medium,High,10,1,3,Regulatory Review,228.5,High,209.5,30.1,100.0,Critical,0
C00835,RiverRock,High Profile,True,Real Estate,Luxembourg,16,32,6,3,12,Blocked,Failed,Medium,High,15,0,2,Missing Documents,239.9,High,285.0,39.6,95.0,Critical,1
C00836,Evercrest,Small / Emerging,False,Money Market,Ireland,15,2,1,5,12,Pending,Pending,Medium,Low,15,0,1,None,131.2,High,155.4,22.6,80.0,High,0
C00837,RiverRock,High Profile,True,UCITS,UK,11,30,6,6,19,Pending,In Progress,High,Low,15,0,4,Missing Documents,233.9,High,224.7,32.8,91.0,Critical,0
C00838,J.P. Morgan,Institutional,False,Money Market,Luxembourg,10,7,2,0,6,In Progress,Completed,Medium,High,45,0,0,None,76.4,Medium,75.1,12.3,39.4,Low,0
C00839,Abrdn,Institutional,False,UCITS,Luxembourg,10,23,1,1,11,In Progress,In Progress,Low,Critical,30,0,1,None,112.7,Medium,136.3,20.4,53.0,Medium,0
C00840,RiverRock,High Profile,True,Real Estate,UK,8,14,3,6,19,In Progress,Pending,Low,Normal,15,1,5,Client Dependency,208.0,High,165.9,25.2,94.0,Critical,1
C00841,PIMCO,Institutional,False,Private Equity,UK,11,28,2,2,12,Completed,Completed,Low,Low,20,0,2,None,118.2,Medium,135.0,19.7,63.0,Medium,1
C00842,OakBridge,Small / Emerging,False,UCITS,Malta,15,17,3,3,15,Completed,In Progress,Low,Normal,20,0,0,None,112.1,Medium,118.0,17.0,57.0,Medium,0
C00843,Celtic Investments,Small / Emerging,False,Hedge Fund,UK,10,25,3,0,5,Completed,Completed,Low,Normal,45,0,2,Missing Documents,95.0,Medium,106.1,15.4,53.8,Medium,0
C00844,NorthPeak,Small / Emerging,False,Real Estate,Ireland,12,1,5,1,12,In Progress,Completed,Low,Normal,15,0,2,Missing Documents,116.8,Medium,120.7,20.8,63.0,Medium,0
C00845,RiverRock,High Profile,True,UCITS,Cayman Islands,25,28,5,5,14,In Progress,Completed,High,Critical,15,1,4,None,257.6,High,267.2,39.6,81.0,High,0
C00846,Emerald Capital,Small / Emerging,False,AIF,Malta,14,19,2,6,3,Completed,In Progress,Low,High,45,1,0,Regulatory Review,109.9,Medium,118.1,17.0,50.0,Medium,0
C00847,Invesco,Institutional,False,UCITS,Ireland,7,17,3,4,2,Pending,Completed,Medium,High,20,0,0,None,94.1,Medium,85.3,16.3,64.3,Medium,0
C00848,Nova Asset Management,Small / Emerging,False,UCITS,Cayman Islands,7,26,1,2,14,Blocked,Completed,High,Normal,30,0,1,Regulatory Review,140.9,High,122.9,18.2,63.0,Medium,0
C00849,OakBridge,Small / Emerging,False,Private Equity,Luxembourg,9,2,2,0,11,Pending,Completed,Medium,Normal,20,0,0,AML Delay,92.7,Medium,95.0,15.0,63.7,Medium,0
C00850,BlackRock,Institutional,False,Real Estate,UK,9,16,2,5,15,In Progress,In Progress,Medium,Normal,15,0,1,None,138.6,High,151.9,22.3,60.0,Medium,0
C00851,RiverRock,High Profile,True,AIF,Ireland,16,19,6,5,13,Pending,Failed,Medium,Normal,30,0,3,None,213.8,High,260.5,37.8,91.0,Critical,0
C00852,Evercrest,Small / Emerging,False,UCITS,Malta,4,15,2,0,5,Completed,Completed,Medium,Normal,15,0,2,None,67.3,Low,78.5,11.5,48.3,Medium,0
C00853,Nova Asset Management,Small / Emerging,False,Hedge Fund,UK,14,25,5,2,7,Blocked,In Progress,Low,Normal,30,0,3,Client Dependency,167.4,High,178.0,26.2,69.0,High,1
C00854,AllianzGI,Institutional,False,Real Estate,Malta,14,19,1,5,13,Completed,In Progress,Medium,Normal,45,0,0,Missing Documents,126.9,High,104.5,15.2,50.0,Medium,0
C00855,BNY,Institutional,False,AIF,Cayman Islands,5,15,3,3,7,In Progress,Pending,Medium,Normal,15,0,3,Regulatory Review,119.1,Medium,136.3,22.9,76.0,High,1
C00856,RiverRock,High Profile,True,Hedge Fund,UK,11,20,7,7,12,Pending,Completed,High,Critical,10,0,4,None,238.8,High,256.3,38.0,99.0,Critical,0
C00857,Varagon Generation,High Profile,True,Private Equity,Cayman Islands,13,22,6,4,20,Completed,Completed,Medium,High,20,0,5,AML Delay,218.2,High,160.2,25.4,84.0,High,1
C00858,Emerald Capital,Small / Emerging,False,Real Estate,Ireland,9,1,5,3,14,Completed,Completed,Low,Low,30,0,3,Missing Documents,121.8,Medium,114.6,19.8,59.0,Medium,1
C00859,Legal & General,Institutional,False,Real Estate,UK,14,27,2,0,15,Completed,Failed,High,Low,30,1,2,None,185.9,High,180.5,27.8,66.0,High,0
C00860,Varagon Generation,High Profile,True,Real Estate,Malta,18,42,5,6,18,In Progress,In Progress,Medium,High,15,0,2,Missing Documents,234.1,High,198.1,27.9,75.0,High,0
C00861,Apollo,High Profile,True,UCITS,Cayman Islands,8,24,6,4,17,Blocked,In Progress,Low,High,10,0,1,KYC Issue,182.9,High,190.0,29.6,90.0,Critical,0
C00862,DWS,Institutional,False,Money Market,Ireland,9,19,2,5,3,Completed,Pending,High,Low,15,0,0,Client Dependency,107.4,Medium,127.9,21.4,67.0,High,0
C00863,State Street,Institutional,False,Real Estate,Luxembourg,7,5,5,0,7,Completed,Completed,High,Low,10,0,3,AML Delay,119.0,Medium,113.3,17.5,74.0,High,0
C00864,Legal & General,Institutional,False,Private Equity,Ireland,6,14,4,1,14,Completed,In Progress,Low,High,20,0,0,AML Delay,105.1,Medium,105.3,17.9,57.0,Medium,0
C00865,BNY,Institutional,False,Money Market,Luxembourg,1,27,1,2,10,Pending,Pending,High,Critical,30,0,0,None,128.3,High,116.4,17.9,70.0,High,0
C00866,GreenRock,Small / Emerging,False,UCITS,Luxembourg,7,12,4,4,2,Completed,Completed,Medium,Low,20,0,0,None,71.6,Low,90.3,14.2,44.2,Medium,0
C00867,PIMCO,Institutional,False,Private Equity,Luxembourg,7,27,5,0,12,In Progress,Completed,Medium,Normal,30,0,3,AML Delay,141.1,High,111.4,18.8,59.0,Medium,0
C00868,Schroders,Institutional,False,Real Estate,Luxembourg,3,9,5,6,12,In Progress,Completed,Low,High,20,0,2,None,128.9,High,102.6,18.6,63.0,Medium,0
C00869,Aon,High Profile,True,AIF,Luxembourg,11,19,6,6,12,In Progress,Completed,Medium,Critical,15,0,5,None,204.0,High,192.7,28.5,84.0,High,0
C00870,Harbour Capital,Small / Emerging,False,AIF,Luxembourg,4,25,4,4,8,Completed,Completed,Medium,Low,30,0,2,None,105.2,Medium,115.9,17.1,56.0,Medium,0
C00871,Celtic Investments,Small / Emerging,False,UCITS,Ireland,9,3,4,0,13,In Progress,In Progress,Low,High,45,0,0,None,93.1,Medium,83.9,13.4,46.9,Medium,0
C00872,BlackRock,Institutional,False,Real Estate,Malta,9,22,2,0,1,Pending,Completed,Medium,Normal,15,0,1,None,93.7,Medium,96.6,15.5,67.2,High,0
C00873,Northern Trust,Institutional,False,Private Equity,Ireland,15,26,4,5,12,Pending,In Progress,Low,Normal,45,0,3,None,174.9,High,163.8,23.8,69.0,High,0
C00874,Varagon Generation,High Profile,True,Real Estate,Malta,24,17,6,9,7,Pending,Failed,High,Critical,30,0,5,None,289.0,High,274.7,38.4,97.0,Critical,0
C00875,Nova Asset Management,Small / Emerging,False,UCITS,Luxembourg,1,17,2,0,6,In Progress,Failed,Low,Normal,30,0,2,Missing Documents,87.6,Medium,75.5,12.3,60.4,Medium,1
C00876,NorthPeak,Small / Emerging,False,UCITS,Luxembourg,13,24,3,2,5,Pending,In Progress,Low,Normal,30,0,2,None,117.8,Medium,83.6,16.1,66.0,High,0
C00877,BNY,Institutional,False,UCITS,Luxembourg,12,1,1,6,11,Completed,Completed,Medium,Normal,15,0,1,None,96.0,Medium,102.9,14.8,58.2,Medium,0
C00878,Abrdn,Institutional,False,Hedge Fund,Malta,12,23,2,5,3,Completed,Completed,High,Normal,15,0,2,AML Delay,131.2,High,103.4,14.9,63.0,Medium,0
C00879,Emerald Capital,Small / Emerging,False,UCITS,Cayman Islands,13,7,4,5,4,Completed,Failed,Low,Normal,20,0,2,None,119.9,Medium,94.6,16.8,73.0,High,0
C00880,Northern Trust,Institutional,False,AIF,Luxembourg,15,9,2,4,11,In Progress,Completed,Medium,High,15,0,2,Missing Documents,130.5,High,156.4,22.3,63.0,Medium,0
C00881,AllianzGI,Institutional,False,UCITS,Luxembourg,8,19,2,1,13,Completed,Completed,Medium,High,15,1,0,Missing Documents,105.2,Medium,81.4,15.6,57.0,Medium,0
C00882,Abrdn,Institutional,False,Money Market,UK,10,8,2,2,8,Completed,Failed,Medium,High,30,0,0,None,105.8,Medium,107.9,18.1,60.0,Medium,1
C00883,M&G,Institutional,False,Private Equity,Malta,3,3,1,4,15,Completed,In Progress,Medium,Normal,45,0,2,None,107.0,Medium,96.7,16.9,56.0,Medium,0
C00884,Schroders,Institutional,False,UCITS,Ireland,13,21,1,3,2,Pending,Completed,High,Normal,45,0,0,AML Delay,105.0,Medium,94.4,14.7,60.0,Medium,0
C00885,Apollo,High Profile,True,UCITS,UK,22,23,5,5,18,In Progress,In Progress,Low,High,20,1,4,Client Dependency,230.2,High,201.3,31.3,81.0,High,0
C00886,GreenRock,Small / Emerging,False,Money Market,UK,3,9,3,4,7,Pending,Failed,High,Normal,20,0,2,Regulatory Review,138.4,High,135.3,20.1,83.0,High,1
C00887,OakBridge,Small / Emerging,False,Private Equity,Malta,13,11,4,2,2,Completed,Pending,High,Normal,30,0,0,Regulatory Review,118.0,Medium,131.4,22.5,60.0,Medium,0
C00888,Emerald Capital,Small / Emerging,False,Real Estate,Luxembourg,12,4,2,4,0,Blocked,Completed,Medium,Normal,30,1,3,None,138.6,High,128.2,21.2,69.0,High,0
C00889,Varagon Generation,High Profile,True,Real Estate,Malta,17,34,5,9,5,Completed,Failed,High,High,15,1,1,AML Delay,235.1,High,192.3,27.1,82.0,High,0
C00890,Aon,High Profile,True,Real Estate,Malta,8,12,6,3,8,Blocked,Pending,Medium,High,15,0,3,KYC Issue,194.1,High,186.5,26.9,98.0,Critical,0
C00891,BNY,Institutional,False,Private Equity,Ireland,15,26,2,5,13,Completed,Completed,Medium,Normal,20,1,0,Missing Documents,144.2,High,169.5,25.2,57.0,Medium,0
C00892,Apollo,High Profile,True,Private Equity,Cayman Islands,14,33,4,3,19,Blocked,Completed,Medium,Normal,20,0,5,KYC Issue,234.4,High,226.7,31.8,94.0,Critical,0
C00893,Aon,High Profile,True,AIF,UK,18,14,3,3,10,Completed,Failed,High,High,10,0,3,None,194.8,High,195.2,29.2,96.0,Critical,0
C00894,Harbour Capital,Small / Emerging,False,Hedge Fund,Malta,12,24,5,0,9,Blocked,Completed,Low,High,20,0,3,None,160.8,High,165.6,24.5,76.0,High,0
C00895,Northern Trust,Institutional,False,Money Market,Malta,1,29,4,1,8,In Progress,Pending,Medium,High,15,0,2,None,121.3,Medium,121.6,20.7,73.0,High,0
C00896,Arbour Wealth,Small / Emerging,False,Money Market,Cayman Islands,15,2,4,1,7,Pending,In Progress,Low,High,45,1,2,None,130.2,High,147.0,20.8,66.0,High,0
C00897,Harbour Capital,Small / Emerging,False,Hedge Fund,Cayman Islands,15,26,1,3,12,In Progress,Completed,Medium,High,15,0,0,AML Delay,134.4,High,161.1,23.8,57.0,Medium,0
C00898,RiverRock,High Profile,True,AIF,Malta,11,35,7,7,12,In Progress,Completed,Medium,High,45,1,3,None,212.8,High,190.1,29.6,71.0,High,0
C00899,BNY,Institutional,False,Hedge Fund,Cayman Islands,6,24,5,6,10,In Progress,Pending,Medium,Normal,20,0,1,Missing Documents,150.9,High,149.5,21.4,70.0,High,1
C00900,Abrdn,Institutional,False,Hedge Fund,Malta,7,10,2,1,0,Completed,Completed,Medium,Normal,30,0,1,None,65.9,Low,66.0,12.9,37.7,Low,0
C00901,Legal & General,Institutional,False,Private Equity,Ireland,1,6,1,1,12,In Progress,In Progress,High,High,15,1,2,None,130.6,High,158.2,25.5,63.0,Medium,0
C00902,M&G,Institutional,False,Private Equity,Malta,1,15,1,3,4,Completed,In Progress,Medium,Normal,30,0,3,None,91.4,Medium,75.5,11.5,55.1,Medium,0
C00903,PIMCO,Institutional,False,AIF,Ireland,10,10,3,0,2,Completed,In Progress,Medium,Normal,20,0,3,Missing Documents,89.1,Medium,78.7,13.0,61.1,Medium,0
